"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
"713.6815","715.52565",264.1,1610.2,"EA-RW02-110326-120816.wav","EA-RW02-110326-120816.wav","y","i_neg","RB"
"541.3610199","542.95831",227.4,1727.6,"EA-RW02-110326-200816.wav","EA-RW02-110326-200816.wav","y","i_neg","RB"
"577.56141","579.12965",146.7,1984.3,"EA-RW02-110326-200816.wav","EA-RW02-110326-200816.wav","y","i_neg","RB"
"624.9645999","626.80875",121,1988,"EA-RW02-110326-200816.wav","EA-RW02-110326-200816.wav","y","i_neg","RB"
"677.9510499","679.63546",121,1991.7,"EA-RW02-110326-200816.wav","EA-RW02-110326-200816.wav","y","i_neg","RB"
"731.9612001","733.68919",99,1991.7,"EA-RW02-110326-200816.wav","EA-RW02-110326-200816.wav","y","i_neg","RB"
"508.73282","510.0687301",612.5,1922,"EA-RW02-110326-230817.wav","EA-RW02-110326-230817.wav","y","i_neg","RB"
"520.9448199","522.4114201",253.1,1991.7,"EA-RW02-110326-230817.wav","EA-RW02-110326-230817.wav","y","i_neg","RB"
"624.97192","626.6998999",260.4,1988,"EA-RW02-110326-230817.wav","EA-RW02-110326-230817.wav","y","i_neg","RB"
"727.9535301","729.5362999",198.1,1980.7,"EA-RW02-110326-230817.wav","EA-RW02-110326-230817.wav","y","i_neg","RB"
"503.2855099","504.7521101",187.1,1845,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"508.33875","509.4278201",418.1,1896.3,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"528.8188101","530.0760301",216.4,1470.8,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"561.81014","563.65985",128.4,1815.6,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"578.1396199","579.36793",238.4,1448.8,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"602.2870201","603.94887",106.4,1907.3,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"671.2281159","672.64829",381.5,1320.4,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"680.8130301","682.22921",113.7,1753.2,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"707.28701","708.34193",308.1,1845,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
"710.65407","711.95465",473.2,1863.3,"EA-RW02-110327-000817.wav","EA-RW02-110327-000817.wav","y","i_neg","RB"
