StartTime,EndTime,LowFreq,HighFreq,StartFile,EndFile,label,SignalCode,Type,Analyst
169.805,170.964,0,992.5,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
176.634,177.671,0,989.1,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
185.902,186.939,27.2,940.2,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
194.378,195.476,5.4,978.3,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
201.024,202.061,10.9,717.4,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
210.536,211.451,38,978.3,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
218.219,219.378,0,978.3,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
242.829,243.683,0,587,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
293.476,294.878,0,434.8,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
299.939,300.976,0,733.7,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
315.244,315.976,0,548.9,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
357.415,358.513,0,951.1,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
366.438,367.475,0,945.7,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
407.855,409.562,23.2,953.9,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
418.526,419.746,18.3,983.6,AU-XBBB01-180827-010000.wav,AU-XBBB01-180827-010000.wav,y,i_neg,GS,DLW
209.792,210.463,5.4,994.6,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
210.951,212.353,0,967.4,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
219.67,220.829,0,288,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
224.183,224.976,0,728.3,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
229.183,230.463,0,467.4,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
234.28,235.743,0,597.8,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
238.305,239.646,0,298.9,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
241.415,242.391,0,576.1,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
245.439,246.963,0,521.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
250.378,251.171,0,407.6,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
255.744,256.964,0,722.8,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
258.792,259.829,0,641.3,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
260.927,262.512,0,641.3,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
264.219,266.048,0,869.6,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
269.829,270.927,0,353.3,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
293.89,294.683,0,875,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
297.976,298.464,0,896.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
300.597,301.146,0,777.2,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
303.646,304.805,0,972.8,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
307.183,308.22,0,760.9,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
310.963,312.304,48.9,717.4,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
314.744,316.024,0,456.5,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
318.463,319.317,0,989.1,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
322.061,323.524,10.9,956.5,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
325.475,326.573,0,766.3,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
327.487,327.975,59.8,396.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
328.829,329.683,0,722.8,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
331.877,332.975,0,967.4,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
335.17,336.329,0,532.6,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
338.463,339.622,0,646.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
341.244,342.646,0,462,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
344.963,346.304,0,320.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
354.049,355.39,0,592.4,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
358.622,360.024,0,967.4,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
363.256,364.354,0,445.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
393.892,394.99,3.4,973.7,AU-XBBB01-180920-150000.wav,AU-XBBB01-180920-150000.wav,y,i_neg,GS,DLW
