StartTime,EndTime,LowFreq,HighFreq,StartFile,EndFile,Label,SignalCode
326.9623999,341.2234837,25.9,39.5,AU-BS04b-150318-154000.wav,AU-BS04b-150318-154000.wav,y,LM
468.1619073,474.3318581,27.4,42.7,AU-BS04b-150318-154000.wav,AU-BS04b-150318-154000.wav,y,LM
474.4057497,479.9476216,27.3,38.4,AU-BS04b-150318-154000.wav,AU-BS04b-150318-154000.wav,y,LM
480.6126462,486.8195428,26.9,34.8,AU-BS04b-150318-154000.wav,AU-BS04b-150318-154000.wav,y,LM
189.5165871,198.0880157,25.6,38,AU-BS04b-150318-160000.wav,AU-BS04b-150318-160000.wav,y,LM
271.5954049,276.102794,29,41.1,AU-BS04b-150318-160000.wav,AU-BS04b-150318-160000.wav,y,LM
503.009198,508.6249615,31.9,41.4,AU-BS04b-150318-160000.wav,AU-BS04b-150318-160000.wav,y,LM
536.1495921,540.6200354,24.6,44.5,AU-BS04b-150318-160000.wav,AU-BS04b-150318-160000.wav,y,LM
558.8564886,563.4008236,26.9,37.6,AU-BS04b-150318-160000.wav,AU-BS04b-150318-160000.wav,y,LM
571.3441733,578.5486068,26.7,40.1,AU-BS04b-150318-160000.wav,AU-BS04b-150318-160000.wav,y,LM
129.464863,136.0781635,30.6,38.9,AU-BS04b-150318-161000.wav,AU-BS04b-150318-161000.wav,y,LM
320.2087054,326.8589517,31.2,39.4,AU-BS04b-150318-161000.wav,AU-BS04b-150318-161000.wav,y,LM
411.3244689,417.3835822,27.1,38.6,AU-BS04b-150318-161000.wav,AU-BS04b-150318-161000.wav,y,LM
459.2284098,462.3688039,33.2,41.9,AU-BS04b-150318-161000.wav,AU-BS04b-150318-161000.wav,y,LM
585.1840748,589.100331,28.6,40.5,AU-BS04b-150318-161000.wav,AU-BS04b-150318-161000.wav,y,LM
64.44023245,69.87126693,27.4,37.7,AU-BS04b-150318-200000.wav,AU-BS04b-150318-200000.wav,y,LM
373.6766857,383.0609221,27.6,41.4,AU-BS04b-150318-200000.wav,AU-BS04b-150318-200000.wav,y,LM
52.19639009,61.61757235,29.4,40.5,AU-BS04b-150318-202000.wav,AU-BS04b-150318-202000.wav,y,LM
253.4328433,262.6323507,26,37.9,AU-BS04b-150318-202000.wav,AU-BS04b-150318-202000.wav,y,LM
444.8860453,456.8934344,27.5,40.4,AU-BS04b-150319-020000.wav,AU-BS04b-150319-020000.wav,y,LM
325.0486068,331.4032866,25,39.4,AU-BS04b-150319-060000.wav,AU-BS04b-150319-060000.wav,y,LM
519.1175724,522.5165871,29.8,42.9,AU-BS04b-150319-060000.wav,AU-BS04b-150319-060000.wav,y,LM
35.3786561,39.11018319,29.1,40.4,AU-BS04b-150319-061000.wav,AU-BS04b-150319-061000.wav,y,LM
268.9279172,276.6126462,30.1,42.2,AU-BS04b-150319-061000.wav,AU-BS04b-150319-061000.wav,y,LM
589.3811192,595.4402325,38.7,49.1,AU-BS04b-150319-061000.wav,AU-BS04b-150319-061000.wav,y,LM
80.20131619,89.69639009,30.6,43.4,AU-BS04b-150328-000000.wav,AU-BS04b-150328-000000.wav,y,LM
270.464863,281.326932,32.2,40.6,AU-BS04b-150328-000000.wav,AU-BS04b-150328-000000.wav,y,LM
489.3835822,498.3983605,31.9,43.6,AU-BS04b-150328-000000.wav,AU-BS04b-150328-000000.wav,y,LM
489.8121536,500.1569812,29.9,41.8,AU-BS04b-150328-003000.wav,AU-BS04b-150328-003000.wav,y,LM
232.3441733,239.2899861,33.1,43.7,AU-BS04b-150328-151000.wav,AU-BS04b-150328-151000.wav,y,LM
374.8515625,378.6200354,24.3,32.9,AU-BS04b-150328-151000.wav,AU-BS04b-150328-151000.wav,y,LM
117.235799,121.0412177,26,36.2,AU-BS04b-150328-154000.wav,AU-BS04b-150328-154000.wav,y,LM
