StartTime,EndTime,LowFreq,HighFreq,StartFile,EndFile,Label,SignalCode
392.5344828,395.9704434,25,37.9,AU-ALBS03-170113-070000.wav,AU-ALBS03-170113-070000.wav,y,LM
67.72167488,72.37684729,28.2,39.8,AU-ALBS03-170113-114000.wav,AU-ALBS03-170113-114000.wav,y,LM
232.8990148,240.0295567,32.2,41.8,AU-ALBS03-170113-114000.wav,AU-ALBS03-170113-114000.wav,y,LM
277.6847291,281.1206897,30.8,41.2,AU-ALBS03-170113-115000.wav,AU-ALBS03-170113-115000.wav,y,LM
481.7438424,486.9162562,32,42.1,AU-ALBS03-170113-170000.wav,AU-ALBS03-170113-170000.wav,y,LM
119.4015933,122.3572583,27.9,38.9,AU-ALBS03-170114-023000.wav,AU-ALBS03-170114-023000.wav,y,LM
124.9065194,129.5986376,31.8,42.8,AU-ALBS03-170114-023000.wav,AU-ALBS03-170114-023000.wav,y,LM
281.0764701,288.2809036,30.8,41.7,AU-ALBS03-170114-023000.wav,AU-ALBS03-170114-023000.wav,y,LM
486.5173568,491.5419874,31.4,40.4,AU-ALBS03-170114-023000.wav,AU-ALBS03-170114-023000.wav,y,LM
38.78582974,42.66514009,31.3,44.1,AU-ALBS03-170114-025000.wav,AU-ALBS03-170114-025000.wav,y,LM
536.6306573,539.9927263,29.1,38.7,AU-ALBS03-170114-025000.wav,AU-ALBS03-170114-025000.wav,y,LM
592.8400169,595.7587361,31.8,42.7,AU-ALBS03-170114-025000.wav,AU-ALBS03-170114-025000.wav,y,LM
50.96316964,54.5838593,30,42.6,AU-ALBS03-170114-031000.wav,AU-ALBS03-170114-031000.wav,y,LM
333.6725292,336.886815,29.3,40.8,AU-ALBS03-170114-031000.wav,AU-ALBS03-170114-031000.wav,y,LM
365.5789332,370.4927263,30.8,48.8,AU-ALBS03-170114-031000.wav,AU-ALBS03-170114-031000.wav,y,LM
436.3523322,442.8547953,28.7,41.3,AU-ALBS03-170114-031000.wav,AU-ALBS03-170114-031000.wav,y,LM
208.0567657,211.344943,29.1,40,AU-ALBS03-170114-070000.wav,AU-ALBS03-170114-070000.wav,y,LM
416.4754849,419.9483913,27.9,41.4,AU-ALBS03-170114-070000.wav,AU-ALBS03-170114-070000.wav,y,LM
293.1873076,298.1749923,33.1,43.8,AU-ALBS03-170114-071000.wav,AU-ALBS03-170114-071000.wav,y,LM
