"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
"550.894027322","551.656737635",111.7,178.5,"AU-AWBS03-141020-052000.wav","AU-AWBS03-141020-052000.wav","y","i_neg","RW"
"560.139826155","560.987282058",118.6,173.9,"AU-AWBS03-141020-052000.wav","AU-AWBS03-141020-052000.wav","y","i_neg","RW"
"568.444894004","569.271163509",109.4,215.4,"AU-AWBS03-141020-052000.wav","AU-AWBS03-141020-052000.wav","y","i_neg","RW"
"576.940639431","577.745722539",107.1,199.3,"AU-AWBS03-141020-052000.wav","AU-AWBS03-141020-052000.wav","y","i_neg","RW"
"584.949097714","585.817740015",107.1,190,"AU-AWBS03-141020-052000.wav","AU-AWBS03-141020-052000.wav","y","i_neg","RW"
"593.686423005","594.597438101",104.8,167,"AU-AWBS03-141020-052000.wav","AU-AWBS03-141020-052000.wav","y","i_neg","RW"
"2.05505004700001","3.02962433600001",111.7,187.7,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"11.122828209","12.16096169",120.9,208.5,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"18.737274429","19.521171139",118.6,171.6,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"27.826238988","28.440644517",118.6,176.2,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"36.788085162","37.381304294",127.8,171.6,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"177.008468456","177.644060383",88.7,183.1,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"186.92370252","187.474548857",109.4,178.5,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"195.355888755","195.949107887",118.6,187.7,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"204.834737961","205.322025105",114,160.1,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"213.902516123","214.601667243",114,183.1,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
"223.499954224","224.368596524",107.1,208.5,"AU-AWBS03-141020-053000.wav","AU-AWBS03-141020-053000.wav","y","i_neg","RW"
