StartTime,EndTime,LowFreq,HighFreq,StartFile,EndFile,label,SignalCode,Type
21.761,22.204,61.2,131.9,AU-BSPM08-180827-050000.wav,AU-BSPM08-180827-050000.wav,y,RW,i_neg
73.958,75.992,67.6,205.9,AU-BSPM08-180827-050000.wav,AU-BSPM08-180827-050000.wav,y,RW,i_neg
180.436,181.434,84.2,182.0,AU-BSPM08-180827-050000.wav,AU-BSPM08-180827-050000.wav,y,RW,i_neg
367.407,369.199,85.4,210.9,AU-BSPM08-180827-052000.wav,AU-BSPM08-180827-052000.wav,y,RW,i_neg
545.31,546.806,83.7,181.9,AU-BSPM08-180827-055000.wav,AU-BSPM08-180827-055000.wav,y,RW,i_neg
14.819,16.426,154.6,206.6,AU-BSPM08-180827-060000.wav,AU-BSPM08-180827-060000.wav,y,RW,i_neg
69.761,71.22,111.0,200.7,AU-BSPM08-180827-060000.wav,AU-BSPM08-180827-060000.wav,y,RW,i_neg
119.014,120.399,68.3,169.1,AU-BSPM08-180827-060000.wav,AU-BSPM08-180827-060000.wav,y,RW,i_neg
366.317,367.555,111.0,195.5,AU-BSPM08-180827-060000.wav,AU-BSPM08-180827-060000.wav,y,RW,i_neg
83.619,84.894,67.5,130.6,AU-BSPM08-180907-021000.wav,AU-BSPM08-180907-021000.wav,y,RW,i_neg
513.023,514.279,82.8,188.7,AU-BSPM08-180907-062000.wav,AU-BSPM08-180907-062000.wav,y,RW,i_neg
565.095,566.277,93.9,147.7,AU-BSPM08-180907-062000.wav,AU-BSPM08-180907-062000.wav,y,RW,i_neg
594.349,595.217,88.8,151.1,AU-BSPM08-180907-062000.wav,AU-BSPM08-180907-062000.wav,y,RW,i_neg
