"FileName","FullPath","StartTime","Duration","Deployment","SegStart","SegDur","SiteID","Type"
"AU-AWCL01-160901-023000.wav","/AW15_AU_CL01/09_2016/","160901-023000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160901-023000.wav","/AW15_AU_CL01/09_2016/","160901-023000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160901-074000.wav","/AW15_AU_CL01/09_2016/","160901-074000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160901-074000.wav","/AW15_AU_CL01/09_2016/","160901-074000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160901-121000.wav","/AW15_AU_CL01/09_2016/","160901-121000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160901-121000.wav","/AW15_AU_CL01/09_2016/","160901-121000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160901-122000.wav","/AW15_AU_CL01/09_2016/","160901-122000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160901-122000.wav","/AW15_AU_CL01/09_2016/","160901-122000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-030000.wav","/AW15_AU_CL01/09_2016/","160902-030000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-030000.wav","/AW15_AU_CL01/09_2016/","160902-030000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-090000.wav","/AW15_AU_CL01/09_2016/","160902-090000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-090000.wav","/AW15_AU_CL01/09_2016/","160902-090000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-091000.wav","/AW15_AU_CL01/09_2016/","160902-091000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-091000.wav","/AW15_AU_CL01/09_2016/","160902-091000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-134000.wav","/AW15_AU_CL01/09_2016/","160902-134000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-134000.wav","/AW15_AU_CL01/09_2016/","160902-134000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-135000.wav","/AW15_AU_CL01/09_2016/","160902-135000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-135000.wav","/AW15_AU_CL01/09_2016/","160902-135000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-180000.wav","/AW15_AU_CL01/09_2016/","160902-180000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-180000.wav","/AW15_AU_CL01/09_2016/","160902-180000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-181000.wav","/AW15_AU_CL01/09_2016/","160902-181000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-181000.wav","/AW15_AU_CL01/09_2016/","160902-181000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-182000.wav","/AW15_AU_CL01/09_2016/","160902-182000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-182000.wav","/AW15_AU_CL01/09_2016/","160902-182000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-183000.wav","/AW15_AU_CL01/09_2016/","160902-183000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
"AU-AWCL01-160902-183000.wav","/AW15_AU_CL01/09_2016/","160902-183000",600,"AW15_AU_CL01",300,300,"CL1","LOW"
"AU-AWCL01-160902-184000.wav","/AW15_AU_CL01/09_2016/","160902-184000",600,"AW15_AU_CL01",0,300,"CL1","LOW"
