StartTime,EndTime,LowFreq,HighFreq,StartFile,EndFile,label,SignalCode,Type
13.714,15.214,14.9,965.3,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
20.143,21.214,222.8,985.1,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
29.714,30.357,16.4,631.1,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
40.214,41.285,24.6,795.1,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
45.143,46.786,32.8,983.6,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
48.071,49.0,16.4,995.0,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
59.122,59.915,91.1,994.6,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
61.317,62.293,13.2,959.5,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
70.951,72.11,118.4,973.7,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
74.122,74.976,114.0,929.8,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
76.927,78.329,0.0,986.8,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
83.146,83.878,122.8,614.0,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
85.341,86.926,109.6,771.9,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
88.512,89.792,61.4,969.3,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
92.963,94.609,0.0,693.0,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
95.28,96.317,74.6,622.8,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
109.244,110.464,0.0,973.7,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
118.854,119.586,68.6,725.5,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
124.768,126.353,0.0,985.3,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
128.366,128.976,156.9,578.4,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
131.049,131.781,107.8,828.4,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
137.024,137.939,19.6,774.5,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
140.987,141.78,0.0,980.4,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
151.109,151.78,348.0,764.7,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
156.597,157.877,0.0,911.8,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
165.5,166.476,117.6,975.5,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
172.0,173.341,14.7,852.9,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
182.122,182.793,210.8,617.6,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
188.341,189.439,0.0,696.1,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
190.415,191.574,4.9,941.2,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
193.829,194.805,0.0,995.1,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
199.438,200.231,34.3,843.1,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
201.756,202.793,102.9,902.0,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
203.829,204.866,0.0,750.0,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
214.805,215.842,19.6,715.7,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
218.219,219.134,509.8,892.2,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
219.438,220.84,4.9,617.6,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
234.902,236.609,0.0,985.3,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
250.66,252.428,0.0,950.5,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
266.331,268.343,31.7,756.6,AU-XBTI01-120622-094500.wav,AU-XBTI01-120622-094500.wav,y,i_neg,GS
28.099,29.136,0.0,973.5,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
84.67,85.707,0.0,955.9,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
104.609,106.255,0.0,612.7,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
119.768,120.805,0.0,990.2,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
129.28,129.829,0.0,990.2,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
144.341,145.926,0.0,990.2,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
170.415,171.817,0.0,995.1,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
187.244,188.098,44.1,666.7,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
206.024,207.0,34.3,990.2,AU-XBTI01-120723-124500.wav,AU-XBTI01-120723-124500.wav,y,i_neg,GS
