"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
159.220338983,172.059322034,27.1,42.7,"AU-BSPM04-150318-050000.wav","AU-BSPM04-150318-050000.wav","y","i_neg","LM"
402.144067797,410.661016949,27.8,38.4,"AU-BSPM04-150318-050000.wav","AU-BSPM04-150318-050000.wav","y","i_neg","LM"
596.516949153,4.48305084700041,26.3,38.6,"AU-BSPM04-150318-050000.wav","AU-BSPM04-150318-051000.wav","y","i_neg","LM"
47.169491525,57.9745762709999,26.5,39.3,"AU-BSPM04-150318-051000.wav","AU-BSPM04-150318-051000.wav","y","i_neg","LM"
311.533898305,321.06779661,28.5,40.7,"AU-BSPM04-150318-051000.wav","AU-BSPM04-150318-051000.wav","y","i_neg","LM"
350.533898305,362.906779661,26.6,40.6,"AU-BSPM04-150318-051000.wav","AU-BSPM04-150318-051000.wav","y","i_neg","LM"
526.601694915,538.93220339,27.1,40.2,"AU-BSPM04-150318-051000.wav","AU-BSPM04-150318-051000.wav","y","i_neg","LM"
582,587.084745763,26.9,36.4,"AU-BSPM04-150318-051000.wav","AU-BSPM04-150318-051000.wav","y","i_neg","LM"
520.96875,524.796875,25,55,"AU-ALBS03-170313-152000.wav","AU-ALBS03-170313-152000.wav","y","DET","LM"
183.46875,187.84375,25,55,"AU-ALBS03-170313-153000.wav","AU-ALBS03-170313-153000.wav","y","DET","LM"
151.90625,155.734375,25,55,"AU-ALBS03-170313-200000.wav","AU-ALBS03-170313-200000.wav","y","DET","LM"
437.4140625,445.0703125,25,55,"AU-ALBS03-170313-203000.wav","AU-ALBS03-170313-203000.wav","y","DET","LM"
294.0546875,298.4296875,25,55,"AU-ALBS03-170313-204000.wav","AU-ALBS03-170313-204000.wav","y","DET","LM"
403.0390625,406.8671875,25,55,"AU-ALBS03-170314-060000.wav","AU-ALBS03-170314-060000.wav","y","DET","LM"
98.8984375,104.09375,25,55,"AU-ALBS03-170314-061000.wav","AU-ALBS03-170314-061000.wav","y","DET","LM"
364.6796875,370.1484375,25,55,"AU-ALBS03-170314-061000.wav","AU-ALBS03-170314-061000.wav","y","DET","LM"
262.0625,269.4453125,25,55,"AU-ALBS03-170314-062000.wav","AU-ALBS03-170314-062000.wav","y","DET","LM"
63.3125,66.8671875,25,55,"AU-ALBS03-170314-065000.wav","AU-ALBS03-170314-065000.wav","y","DET","LM"
220.96875,225.0703125,25,55,"AU-ALBS03-170314-221000.wav","AU-ALBS03-170314-221000.wav","y","DET","LM"
324.640625,328.46875,25,55,"AU-ALBS03-170315-120000.wav","AU-ALBS03-170315-120000.wav","y","DET","LM"
